timestamp,sender_bic,receiver_bic,amount,currency,msg_type
2025-12-26 22:02:48.337321,BARCGB22XXX,DEUTDEFFXXX,952701.51,GBP,MT103
2025-11-30 23:49:48.337321,BOFAUS3NXXX,BARCGB22XXX,161044.61,JPY,MT202
2025-12-16 03:54:48.337321,BNPAFRPPXXX,BARCGB22XXX,637221.46,EUR,MT202
2025-12-25 09:44:48.337321,CHASUS33XXX,DEUTDEFFXXX,451221.47,USD,MT202
2025-12-04 22:36:48.337321,BOFAUS3NXXX,BNPAFRPPXXX,29320.15,USD,MT103
2025-12-02 11:54:48.337321,DEUTDEFFXXX,BARCGB22XXX,819110.55,GBP,MT950
2025-12-02 06:27:48.337321,CHASUS33XXX,BOFAUS3NXXX,570662.84,USD,MT950
2025-12-02 01:33:48.337321,BARCGB22XXX,DEUTDEFFXXX,220939.91,USD,MT103
2025-12-04 03:59:48.337321,BARCGB22XXX,BNPAFRPPXXX,10822.07,JPY,MT202
2025-12-07 09:38:48.337321,BNPAFRPPXXX,CHASUS33XXX,378939.05,JPY,MT202
2025-12-20 19:30:48.337321,CHASUS33XXX,BNPAFRPPXXX,933045.17,GBP,MT202
2025-12-28 21:27:48.337321,DEUTDEFFXXX,BNPAFRPPXXX,411555.87,EUR,MT202
2025-12-23 21:53:48.337321,BARCGB22XXX,BARCGB22XXX,251077.62,EUR,MT950
2025-12-22 16:24:48.337321,BARCGB22XXX,BARCGB22XXX,512976.24,JPY,MT202
2025-12-28 17:05:48.337321,CHASUS33XXX,BARCGB22XXX,147724.87,USD,MT950
2025-12-25 01:36:48.337321,BARCGB22XXX,DEUTDEFFXXX,621808.19,EUR,MT950
2025-12-04 21:44:48.337321,DEUTDEFFXXX,BOFAUS3NXXX,87572.93,JPY,MT103
2025-12-24 11:37:48.337321,BNPAFRPPXXX,CHASUS33XXX,806938.85,GBP,MT202
2025-12-24 11:26:48.337321,CHASUS33XXX,BARCGB22XXX,625395.94,EUR,MT202
2025-12-28 14:28:48.337321,CHASUS33XXX,DEUTDEFFXXX,336532.98,GBP,MT202
2025-12-02 02:15:48.337321,CHASUS33XXX,DEUTDEFFXXX,909241.8,USD,MT950
2025-12-01 11:24:48.337321,BNPAFRPPXXX,BARCGB22XXX,374454.86,USD,MT103
2025-12-28 19:54:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,876828.02,USD,MT202
2025-12-25 07:16:48.337321,CHASUS33XXX,DEUTDEFFXXX,566842.29,EUR,MT950
2025-12-24 21:21:48.337321,BARCGB22XXX,BARCGB22XXX,969593.2,JPY,MT202
2025-12-23 21:54:48.337321,CHASUS33XXX,BARCGB22XXX,48077.79,GBP,MT202
2025-12-24 13:43:48.337321,BNPAFRPPXXX,CHASUS33XXX,698559.49,GBP,MT950
2025-12-24 11:00:48.337321,CHASUS33XXX,BOFAUS3NXXX,662201.87,USD,MT103
2025-12-18 00:03:48.337321,BNPAFRPPXXX,BARCGB22XXX,666400.58,GBP,MT202
2025-12-01 17:38:48.337321,BOFAUS3NXXX,BARCGB22XXX,864527.88,EUR,MT103
2025-12-12 16:57:48.337321,BNPAFRPPXXX,BARCGB22XXX,170150.39,USD,MT103
2025-12-01 08:42:48.337321,CHASUS33XXX,BNPAFRPPXXX,102299.11,USD,MT103
2025-12-04 14:33:48.337321,BARCGB22XXX,BOFAUS3NXXX,678239.07,EUR,MT950
2025-12-21 02:19:48.337321,BNPAFRPPXXX,BNPAFRPPXXX,365755.42,USD,MT950
2025-12-23 23:43:48.337321,BARCGB22XXX,BARCGB22XXX,715908.57,JPY,MT202
2025-12-22 07:19:48.337321,DEUTDEFFXXX,CHASUS33XXX,650282.2,USD,MT950
2025-12-01 14:16:48.337321,DEUTDEFFXXX,CHASUS33XXX,985736.14,JPY,MT103
2025-12-11 03:31:48.337321,BARCGB22XXX,DEUTDEFFXXX,430330.47,JPY,MT103
2025-12-02 13:07:48.337321,CHASUS33XXX,BNPAFRPPXXX,252430.73,GBP,MT202
2025-12-28 12:44:48.337321,BOFAUS3NXXX,CHASUS33XXX,736974.55,EUR,MT202
2025-12-14 01:34:48.337321,CHASUS33XXX,CHASUS33XXX,634145.1,JPY,MT103
